timestamp,Voltage_V,Current_A,Power_kW,PowerFactor,Frequency_Hz,Energy_kWh
2026-06-02 09:30:00,230.2,13.35,2.928,0.952,49.985,4848.55
2026-06-02 09:45:00,230.8,13.98,3.087,0.956,49.989,4849.32
2026-06-02 10:00:00,230.3,14.77,3.159,0.929,50.023,4850.11
2026-06-02 10:15:00,230.0,13.68,2.944,0.936,49.980,4850.84
2026-06-02 10:30:00,230.8,13.54,2.971,0.951,49.989,4851.59
2026-06-02 10:45:00,229.6,14.24,3.105,0.950,49.982,4852.36
2026-06-02 11:00:00,230.8,14.51,3.081,0.920,49.977,4853.13
2026-06-02 11:15:00,229.9,14.33,3.100,0.941,50.000,4853.91
2026-06-02 11:30:00,230.1,15.04,3.242,0.937,50.017,4854.72
2026-06-02 11:45:00,231.0,13.88,3.053,0.952,49.978,4855.48
2026-06-02 12:00:00,230.6,14.40,3.143,0.947,49.975,4856.27
2026-06-02 12:15:00,229.6,14.08,3.004,0.930,50.017,4857.02
2026-06-02 12:30:00,230.2,14.97,3.188,0.925,49.992,4857.82
2026-06-02 12:45:00,229.2,15.20,3.330,0.956,50.006,4858.65
2026-06-02 13:00:00,230.3,13.95,3.019,0.940,49.979,4859.40
2026-06-02 13:15:00,230.1,13.96,3.041,0.947,50.010,4860.16
2026-06-02 13:30:00,230.3,14.33,3.070,0.930,49.980,4860.93
2026-06-02 13:45:00,229.8,14.73,3.193,0.943,49.999,4861.73
2026-06-02 14:00:00,229.5,13.94,3.047,0.952,49.993,4862.49
2026-06-02 14:15:00,229.6,14.66,3.108,0.924,49.986,4863.27
2026-06-02 14:30:00,229.7,15.07,3.221,0.930,50.010,4864.07
2026-06-02 14:45:00,230.7,13.91,3.045,0.949,50.006,4864.83
2026-06-02 15:00:00,230.2,14.82,3.222,0.944,49.992,4865.64
2026-06-02 15:15:00,230.5,14.40,3.084,0.929,50.018,4866.41
2026-06-02 15:30:00,230.6,14.38,3.154,0.951,49.983,4867.20
2026-06-02 15:45:00,229.3,13.72,2.993,0.952,49.998,4867.95
2026-06-02 16:00:00,230.9,13.26,2.915,0.952,50.000,4868.68
2026-06-02 16:15:00,229.5,13.20,2.820,0.931,50.003,4869.38
2026-06-02 16:30:00,229.5,13.21,2.873,0.948,50.020,4870.10
2026-06-02 16:45:00,230.4,14.38,3.070,0.926,50.020,4870.87
2026-06-02 17:00:00,230.5,13.16,2.893,0.954,49.996,4871.59
2026-06-02 17:15:00,230.5,13.23,2.889,0.948,50.020,4872.31
2026-06-02 17:30:00,230.4,13.39,2.939,0.953,49.983,4873.05
2026-06-02 17:45:00,229.4,13.29,2.810,0.921,50.001,4873.75
2026-06-02 18:00:00,230.7,13.11,2.811,0.929,49.994,4874.45
2026-06-02 18:15:00,230.9,13.26,2.822,0.922,50.011,4875.16
2026-06-02 18:30:00,229.6,13.72,2.999,0.952,50.002,4875.91
2026-06-02 18:45:00,229.3,13.29,2.907,0.954,50.021,4876.63
2026-06-02 19:00:00,195.7,12.87,2.411,0.957,50.018,4877.24
2026-06-02 19:15:00,196.1,12.73,2.379,0.953,50.006,4877.83
2026-06-02 19:30:00,196.3,12.60,2.284,0.923,49.985,4878.40
2026-06-02 19:45:00,196.4,13.06,2.398,0.935,50.013,4879.00
2026-06-02 20:00:00,229.2,12.11,2.586,0.932,50.021,4879.65
2026-06-02 20:15:00,230.1,12.75,2.756,0.940,49.982,4880.34
2026-06-02 20:30:00,229.6,12.64,2.717,0.936,49.984,4881.02
2026-06-02 20:45:00,230.2,11.75,2.514,0.929,50.005,4881.65
2026-06-02 21:00:00,229.9,11.25,2.409,0.931,50.009,4882.25
2026-06-02 21:15:00,229.9,11.25,2.467,0.954,49.980,4882.86
2026-06-02 21:30:00,229.8,12.48,2.737,0.954,50.005,4883.55
2026-06-02 21:45:00,230.9,11.67,2.532,0.940,50.018,4884.18
2026-06-02 22:00:00,229.3,12.17,2.609,0.935,49.984,4884.83
2026-06-02 22:15:00,229.2,10.99,2.408,0.956,49.985,4885.44
2026-06-02 22:30:00,230.2,12.20,2.599,0.926,49.999,4886.09
2026-06-02 22:45:00,229.7,11.61,2.527,0.948,49.993,4886.72
2026-06-02 23:00:00,230.0,11.19,2.396,0.931,50.024,4887.32
2026-06-02 23:15:00,230.0,11.20,2.439,0.946,49.982,4887.93
2026-06-02 23:30:00,230.1,10.94,2.319,0.921,49.977,4888.51
2026-06-02 23:45:00,229.3,11.00,2.405,0.954,49.983,4889.11
2026-06-03 00:00:00,229.6,11.71,2.477,0.921,49.997,4889.73
2026-06-03 00:15:00,230.4,11.88,2.587,0.945,49.987,4890.37
2026-06-03 00:30:00,230.4,11.90,2.589,0.944,49.999,4891.02
2026-06-03 00:45:00,230.4,11.13,2.436,0.950,49.979,4891.63
2026-06-03 01:00:00,229.4,11.93,2.530,0.925,50.024,4892.26
2026-06-03 01:15:00,229.3,11.61,2.507,0.941,49.997,4892.89
2026-06-03 01:30:00,229.5,12.00,2.630,0.955,50.011,4893.55
2026-06-03 01:45:00,229.3,10.91,2.396,0.958,50.011,4894.14
2026-06-03 02:00:00,229.0,11.74,2.497,0.929,50.006,4894.77
2026-06-03 02:15:00,229.7,11.42,2.449,0.934,50.001,4895.38
2026-06-03 02:30:00,229.5,11.16,2.457,0.959,50.022,4896.00
2026-06-03 02:45:00,229.4,11.80,2.546,0.941,50.020,4896.63
2026-06-03 03:00:00,230.9,12.61,2.780,0.955,49.997,4897.33
2026-06-03 03:15:00,230.9,12.32,2.644,0.930,49.982,4897.99
2026-06-03 03:30:00,229.7,11.68,2.531,0.943,49.997,4898.62
2026-06-03 03:45:00,229.2,11.51,2.447,0.928,49.991,4899.23
2026-06-03 04:00:00,229.3,11.92,2.600,0.951,49.997,4899.88
2026-06-03 04:15:00,229.2,12.63,2.693,0.930,50.014,4900.56
2026-06-03 04:30:00,229.6,12.15,2.648,0.949,50.011,4901.22
2026-06-03 04:45:00,230.6,13.01,2.792,0.931,50.016,4901.92
2026-06-03 05:00:00,230.5,12.70,2.798,0.955,50.009,4902.61
2026-06-03 05:15:00,230.3,12.16,2.619,0.935,50.007,4903.27
2026-06-03 05:30:00,229.1,11.96,2.530,0.923,49.977,4903.90
2026-06-03 05:45:00,229.1,11.89,2.521,0.925,50.010,4904.53
2026-06-03 06:00:00,229.4,12.28,2.603,0.923,49.998,4905.18
2026-06-03 06:15:00,230.3,13.06,2.777,0.923,50.023,4905.88
2026-06-03 06:30:00,229.6,12.62,2.734,0.944,49.993,4906.56
2026-06-03 06:45:00,229.5,12.89,2.726,0.921,49.995,4907.24
2026-06-03 07:00:00,229.3,13.38,2.869,0.935,49.982,4907.96
2026-06-03 07:15:00,230.1,13.83,2.988,0.939,50.023,4908.71
2026-06-03 07:30:00,231.0,13.91,2.993,0.932,49.996,4909.45
2026-06-03 07:45:00,230.9,14.03,3.013,0.930,49.977,4910.21
2026-06-03 08:00:00,230.0,14.15,3.104,0.954,49.984,4910.98
2026-06-03 08:15:00,229.9,13.06,2.778,0.925,49.985,4911.68
2026-06-03 08:30:00,229.3,13.59,2.947,0.946,50.005,4912.41
2026-06-03 08:45:00,230.4,13.32,2.898,0.944,49.987,4913.14
2026-06-03 09:00:00,229.1,14.63,3.089,0.922,50.000,4913.91
2026-06-03 09:15:00,229.4,14.30,3.025,0.922,49.994,4914.67
2026-06-03 09:30:00,230.0,14.54,3.146,0.941,50.021,4915.45
2026-06-03 09:45:00,229.8,14.86,3.158,0.925,49.982,4916.24
2026-06-03 10:00:00,230.9,14.66,3.193,0.943,49.995,4917.04
2026-06-03 10:15:00,230.0,13.74,3.030,0.959,49.993,4917.80
2026-06-03 10:30:00,229.1,13.88,2.989,0.940,49.988,4918.55
2026-06-03 10:45:00,229.7,13.96,2.984,0.930,49.987,4919.29
2026-06-03 11:00:00,230.6,14.54,3.169,0.945,49.982,4920.09
2026-06-03 11:15:00,230.1,14.88,3.236,0.945,50.020,4920.89
2026-06-03 11:30:00,229.9,14.04,3.069,0.951,50.000,4921.66
2026-06-03 11:45:00,229.6,14.12,3.093,0.954,50.014,4922.43
2026-06-03 12:00:00,230.9,14.60,3.173,0.941,49.985,4923.23
2026-06-03 12:15:00,229.5,14.95,3.286,0.958,49.980,4924.05
2026-06-03 12:30:00,229.4,15.16,3.252,0.935,49.990,4924.86
2026-06-03 12:45:00,230.7,14.43,3.151,0.946,49.987,4925.65
2026-06-03 13:00:00,224.6,37.76,7.104,0.838,49.988,4927.43
2026-06-03 13:15:00,224.5,38.35,7.259,0.843,50.008,4929.24
2026-06-03 13:30:00,224.2,38.29,7.288,0.849,49.975,4931.06
2026-06-03 13:45:00,223.4,37.86,7.126,0.843,49.984,4932.84
2026-06-03 14:00:00,229.3,14.88,3.205,0.940,49.992,4933.65
2026-06-03 14:15:00,229.2,15.06,3.311,0.959,50.005,4934.47
2026-06-03 14:30:00,229.5,14.55,3.200,0.959,49.998,4935.27
2026-06-03 14:45:00,229.8,13.93,3.063,0.957,49.994,4936.04
2026-06-03 15:00:00,229.7,14.78,3.222,0.949,49.978,4936.84
2026-06-03 15:15:00,230.4,14.60,3.171,0.943,49.990,4937.64
2026-06-03 15:30:00,230.3,13.45,2.903,0.937,49.977,4938.36
2026-06-03 15:45:00,230.1,13.82,2.931,0.922,50.024,4939.10
2026-06-03 16:00:00,229.5,14.19,3.066,0.942,50.008,4939.86
2026-06-03 16:15:00,230.9,14.15,3.008,0.920,49.985,4940.61
2026-06-03 16:30:00,230.6,13.17,2.847,0.937,49.986,4941.33
2026-06-03 16:45:00,230.6,13.00,2.831,0.944,50.005,4942.03
2026-06-03 17:00:00,229.9,13.79,3.009,0.950,49.991,4942.79
2026-06-03 17:15:00,231.0,13.85,3.005,0.939,49.980,4943.54
2026-06-03 17:30:00,229.1,13.35,2.870,0.938,49.980,4944.26
2026-06-03 17:45:00,230.2,13.07,2.865,0.952,49.993,4944.97
2026-06-03 18:00:00,230.2,13.53,2.916,0.936,49.988,4945.70
2026-06-03 18:15:00,230.4,13.10,2.827,0.936,50.006,4946.41
2026-06-03 18:30:00,229.3,12.75,2.698,0.923,50.000,4947.08
2026-06-03 18:45:00,230.5,13.72,2.955,0.934,50.018,4947.82
2026-06-03 19:00:00,230.7,12.75,2.755,0.937,49.996,4948.51
2026-06-03 19:15:00,229.7,13.32,2.818,0.921,50.004,4949.21
2026-06-03 19:30:00,229.1,13.41,2.879,0.937,49.993,4949.93
2026-06-03 19:45:00,229.9,13.09,2.870,0.954,49.992,4950.65
2026-06-03 20:00:00,230.9,12.22,2.679,0.949,49.977,4951.32
2026-06-03 20:15:00,229.0,12.35,2.631,0.930,49.988,4951.98
2026-06-03 20:30:00,230.4,12.83,2.767,0.936,49.978,4952.67
2026-06-03 20:45:00,229.5,11.91,2.516,0.920,49.984,4953.30
2026-06-03 21:00:00,229.0,12.40,2.673,0.941,49.982,4953.97
2026-06-03 21:15:00,230.1,12.39,2.690,0.944,49.993,4954.64
2026-06-03 21:30:00,229.9,11.21,2.412,0.936,50.025,4955.24
2026-06-03 21:45:00,230.6,11.36,2.455,0.937,50.020,4955.86
2026-06-03 22:00:00,229.7,11.26,2.385,0.922,49.987,4956.45
2026-06-03 22:15:00,229.3,12.43,2.625,0.921,50.006,4957.11
2026-06-03 22:30:00,230.9,11.70,2.580,0.956,50.005,4957.75
2026-06-03 22:45:00,230.7,11.89,2.613,0.952,50.010,4958.41
2026-06-03 23:00:00,230.2,11.28,2.422,0.933,49.981,4959.01
2026-06-03 23:15:00,229.5,10.84,2.373,0.954,50.017,4959.61
2026-06-03 23:30:00,229.5,11.72,2.548,0.947,49.995,4960.24
2026-06-03 23:45:00,230.7,12.20,2.616,0.930,49.978,4960.90
